BOOK;AUTHOR;LINK;STATUS
The Sovereign Individual;James Dale Davidson (Autor), Lord William Rees-Mogg (Autor);https://www.amazon.de/Sovereign-Individual-Mastering-Transition-Information/dp/0684832720/ref=asc_df_0684832720/?tag=googshopde-21&linkCode=df0&hvadid=310585375631&hvpos=&hvnetw=g&hvrand=11867119711086370873&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9044551&hvtargid=pla-457954451889&psc=1&th=1&psc=1&tag=&ref=&adgrpid=64736365674&hvpone=&hvptwo=&hvadid=310585375631&hvpos=&hvnetw=g&hvrand=11867119711086370873&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9044551&hvtargid=pla-457954451889;ok
Die Orangene Pille;Ijoma Mangold;https://www.amazon.de/Die-orange-Pille-Warum-Bitcoin-ebook/dp/B09XY5ZRML/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=TRB6BXV9KKY2&keywords=Die+Orangene+Pille&qid=1699962125&s=digital-text&sprefix=die+orange+pille%2Cdigital-text%2C114&sr=1-1;ok
The Bitcoin Standard;Saifedean Ammous;https://www.amazon.de/gp/product/B089KS9PZP/ref=dbs_a_def_rwt_bibl_vppi_i0;ok
The Fiat Standard;Saifedean Ammous;https://www.amazon.de/gp/product/B0B1DDF98R/ref=dbs_a_def_rwt_bibl_vppi_i3;ok
21 Lessons: What I've Learned from Falling Down the Bitcoin Rabbit Hole;Gigi;https://www.amazon.de/21-Lessons-Learned-Falling-Bitcoin-ebook/dp/B083L93MJ7/ref=sr_1_2?crid=3I2XTWUANEC7M&keywords=21+lessons&qid=1699962043&s=digital-text&sprefix=21+Lessons%2Cdigital-text%2C113&sr=1-2;ok
Mastering Bitcoin: Unlocking Digital Cryptocurrencies ;Andreas M. Antonopoulos ;https://www.amazon.de/Mastering-Bitcoin-Unlocking-Digital-Cryptocurrencies/dp/1491954388/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1FW61OH98UJL3&keywords=Mastering+Bitcoin&qid=1699962164&sprefix=mastering+bitcoin%2Caps%2C449&sr=8-1;ok
Mastering the Lightning Network;Andreas M. Antonopoulos ;https://www.amazon.de/Mastering-Lightning-Network-English-Antonopoulos-ebook/dp/B09MDQX9S8/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3F9RSBUIR9QYJ&keywords=Mastering+Lightning&qid=1698376483&s=digital-text&sprefix=mastering+lightning%2Cdigital-text%2C92&sr=1-1;ok
Das Trojanische Pferd der Freiheit: Bitcoin als Chance im Kampf um Selbstbestimmung und Menschenrechte;Alex Gladstein;https://www.amazon.de/Trojanische-Pferd-Freiheit-Selbstbestimmung-Menschenrechte/dp/3949098399/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=29VMDQNTXW0XA&keywords=Das+trojanische+der+Freiheit&qid=1699962219&sprefix=das+trojanische+der+freiheit%2Caps%2C143&sr=8-1;ok
Marlas Bitcoin Abenteuer;Edwin Schotland;https://www.amazon.de/Marlas-Bitcoin-Abenteuer-Kaninchenbau-Abenteuer-Sach-Geschichte/dp/3949098380/ref=sr_1_1?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1KP0E6BYXLAD5&keywords=Marlas+Bitcoin+Abenteuer&qid=1699962230&s=digital-text&sprefix=marlas+bitcoin+abenteuer%2Cdigital-text%2C211&sr=1-1;ok
Das kleine Bitcoin Buch;Various;;
Layered Money;Nik Bhatia;;
Price of Tomorrow;Jeff Booth;;
Die Kunst des digitalen Lebens;Rolf Dobelli;;
Die Kunst des guten Lebens;Rolf Dobelli;;
Die Kunst des klaren Denkens;Rolf Dobelli;;
Die Kunst des klugen Handelns;Rolf Dobelli;;
2024;Joe Martin;;
Broken Money;Lyn Alden;;
Das Wesen des Geldes: Argentarius: Briefe eines Bankdirektors an seinen Sohn;Michael Anton Fischer;;
Crypto Titans;Markus Thielen;;
36 Strategeme der Krise;Christian Rieck;;
Book of Satoshi;Phil Champagne;;
Relentless;Tim Grover;;
Fourth Turning;Strauss, Howe;;
Changing World Order;Ray Dalio;;
Rich Dad Poor Dad;Robert Kyosaki;;
Thinking Fast Thinking Slow;;;
Nudge;;;
Mein Freund namens Bitcoin;;;
Principles of Economics;Saifedean Ammous;;
Prinzipien des Wohlstands;Homm, Hessel;;
Softwar;;;
Fiat Food;Saifedean Ammous;;
Wie man Freunde gewinnt;;;
Power;;;
Saylor Series;Saylor, Breedlove;;
